Site_Code,Start_Date,End_Date
cn,2025-12-17,2026-01-15
sec,2026-01-04,2026-01-31
africa_fr,2026-01-15,2026-01-28
it,2025-12-24,2026-01-20
ua,2025-12-27,2026-01-18
sa,2025-12-11,2026-01-18
sa_en,2025-12-11,2026-01-18
ae,2026-01-02,2026-01-22
ae_ar,2026-01-02,2026-01-22
sg,2025-11-27,2026-01-12
my,2025-11-20,2026-01-04
uk,2025-12-28,2026-01-18
co,2025-12-06,2026-01-07
ph,2025-11-30,2026-01-04
