Site_Code,Start_Date,End_Date
cn,2025-02-24,2025-03-25
sec,2025-02-18,2025-03-17
africa_fr,2025-01-29,2025-02-11
it,2025-02-17,2025-03-16
ua,2025-01-19,2025-02-10
sa,2025-01-19,2025-02-26
sa_en,2025-01-19,2025-02-26
ae,2025-02-07,2025-02-27
ae_ar,2025-02-07,2025-02-27
sg,2025-02-19,2025-04-06
my,2025-02-20,2025-04-06
uk,2025-02-19,2025-03-12
co,2025-02-18,2025-03-22
ph,2025-02-15,2025-03-22
